CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,cuisine,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location Point1
50083695,FOREVER COFFEE BAR,Manhattan,714,WEST  181 STREET,10033,6468820009,Coffee/Tea,04/29/2022,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,12,A,04/29/2022,10/24/2023,Cycle Inspection / Re-inspection,40.85036795,-73.93645095,112,10,26500,1064279,1021760128,MN36,
50135210,MABU CAFE NYC,Manhattan,18,DOYERS STREET,10013,7186379338,Chinese,08-01-23,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,42,,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.71461634,-73.99809176,103,1,2900,1001713,1001620049,MN27,
50125562,KENNEDY CHICKEN & GRILL,Brooklyn,110B,NASSAU AVENUE,11222,7182103491,Chicken,03/15/2023,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,38,,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.72422559,-73.94937209,301,33,57100,3066773,3026810006,BK76,
50110704,M.A.'S SOUL FOOD PLUS,Brooklyn,140,EMPIRE BOULEVARD,11225,3477899380,Soul Food,09-06-22,Violations were cited in the following area(s).,10C,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms. Shatterproof bulb or shield to prevent broken glass from falling into food or onto surfaces, not installed.",Not Critical,19,N,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.66346796,-73.95777716,309,40,32700,3398071,3013130046,BK60,
50011308,AMARACHI PRIME,Brooklyn,189,BRIDGE STREET,11201,6466414510,African,07/28/2021,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,20,,,10/24/2023,Cycle Inspection / Initial Inspection,40.69816871,-73.98495787,302,33,1500,3000189,3001080009,BK38,
50128777,AGAVE RESTAURANT & LOUNGE,Bronx,1973,SOUTHERN BOULEVARD,10460,7185701846,Mexican,08/31/2023,Violations were cited in the following area(s).,15-37,Workplace SFAA policy not prominently posted in workplace.,Not Applicable,,,,10/24/2023,Smoke-Free Air Act / Initial Inspection,40.8431648,-73.88558003,206,15,36501,2013088,2031170001,BX17,
40366961,MITCHELL'S RESTAURANT,Brooklyn,617A,VANDERBILT AVENUE,11238,7187893212,Soul Food,04/27/2023,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,12,A,04/27/2023,10/24/2023,Cycle Inspection / Initial Inspection,40.67885037,-73.96841748,308,35,20500,3028191,3011450004,BK64,
50089448,PUBLIC RECORDS,Brooklyn,233,BUTLER STREET,11217,9172325676,Vegan,02/13/2020,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,35,,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.68195552,-73.98647224,306,33,7100,3336080,3004050051,BK38,
41176037,HAREFIELD ROAD PUB,Brooklyn,769,METROPOLITAN AVENUE,11211,7183886870,American,09/23/2022,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,26,,,10/24/2023,Cycle Inspection / Initial Inspection,40.71460524,-73.94362225,301,34,49700,3068759,3027600036,BK90,
41305916,DUNKIN,Queens,13504,JAMAICA AVENUE,11418,7182629567,Donuts,06/16/2022,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,36,,,10/24/2023,Cycle Inspection / Initial Inspection,40.70239435,-73.81763991,409,29,14202,4442218,4093420014,QN54,
50071902,FINN'S BAGELS,Manhattan,477,10 AVENUE,10018,2122730700,Coffee/Tea,09-01-21,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13,,,10/24/2023,Cycle Inspection / Initial Inspection,40.75620775,-73.99797145,104,3,9900,1012494,1007080037,MN13,
41309636,LONA PIZZA,Bronx,373,EAST  204 STREET,10467,7186556600,Pizza,03-06-23,Violations were cited in the following area(s).,06A,Personal cleanliness is inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn where required.  Jewelry worn on hands or arms.  Fingernail polish worn or fingernails not kept clean and trimmed.,Critical,13,A,03-06-23,10/24/2023,Cycle Inspection / Re-inspection,40.87156692,-73.87723632,207,11,42500,2018524,2033530001,BX43,
50118612,AMY'S BREAD @ CAFE AT 200 LEX,Manhattan,200,LEXINGTON AVENUE,10016,2126799500,Bakery Products/Desserts,09/13/2022,No violations were recorded at the time of this inspection.,,,Not Applicable,0,,,10/24/2023,Pre-permit (Operational) / Compliance Inspection,40.74524904,-73.98056959,105,2,7200,1018473,1008880020,MN20,
50115065,AMTRAK METROPOLITAN LOUNGE/MOYNIHAN TRAIN HALL,Manhattan,421,8 AVENUE,10001,6467560159,Sandwiches/Salads/Mixed Buffet,01/25/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,01/25/2023,10/24/2023,Cycle Inspection / Re-inspection,40.75038601,-73.9947811,104,3,10300,1084820,1007557501,MN13,
50015243,DUE MONDI CIVIC ASSOCIATION,Queens,97-26,99 STREET,11416,6313170118,American,04-10-19,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,29,,,10/24/2023,Cycle Inspection / Initial Inspection,40.68666616,-73.84320453,409,32,3800,4188688,4090750037,QN53,
50094524,SUBWAY,Queens,5018,ROOSEVELT AVE,11377,6469341424,Sandwiches,02-11-22,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,19,,,10/24/2023,Cycle Inspection / Initial Inspection,40.74353083,-73.91455024,402,26,25302,4544788,4013190012,QN31,
50132764,BLAZIN CHICKEN & GYRO,Bronx,16,EAST  167 STREET,10452,3474312773,Chicken,04-03-23,Violations were cited in the following area(s).,19-Jun,"Providing single-use, non-compostable plastic straws to customers without customer request (including providing such straws at a self-serve station)",Not Critical,,,,10/24/2023,Administrative Miscellaneous / Initial Inspection,40.83592716,-73.92189734,204,16,19700,2003027,2024960058,BX63,
50109257,NEW PIZZA PLACE,Queens,20527,HOLLIS AVE,11412,9172136272,Pizza,12-08-22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,19,,,10/24/2023,Cycle Inspection / Initial Inspection,40.7071404,-73.75199649,412,27,51000,4233503,4109120035,QN07,
50057443,VERITABLE,Manhattan,1201,2 AVENUE,10065,2127530600,American,02-10-23,Violations were cited in the following area(s).,04O,Live animal other than fish in tank or service animal present in facility’s food or non-food area.,Critical,30,,,10/24/2023,Cycle Inspection / Initial Inspection,40.7632776,-73.96240291,108,4,11000,1043864,1014180021,MN31,
50076583,SZECHUAN GARDEN,Manhattan,239,WEST  105 STREET,10025,2128658808,Chinese,08/16/2022,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,27,,,10/24/2023,Cycle Inspection / Initial Inspection,40.80027017,-73.96740971,107,7,19100,1056609,1018770016,MN12,
40593848,MY LITTLE PIZZERIA,Brooklyn,114,COURT STREET,11201,7186436120,Pizza,03/16/2023,Violations were cited in the following area(s).,10H,"Single service article not provided.  Single service article reused or not protected from contamination when transported, stored, dispensed.  Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,10,A,03/16/2023,10/24/2023,Cycle Inspection / Re-inspection,40.69017665,-73.99213908,302,33,900,3002797,3002760044,BK09,
41704990,CORAZON LATINO,Queens,13840,84 DRIVE,11435,7182628661,Spanish,01/30/2020,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,41,,,10/24/2023,Cycle Inspection / Initial Inspection,40.70909531,-73.81824551,408,24,21400,4206515,4096490044,QN35,
50086391,FIX-U-PLATE,Brooklyn,1139/1141,CLARKSON AVE,11212,9292343888,Caribbean,04/27/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,10,A,04/27/2023,10/24/2023,Cycle Inspection / Re-inspection,,,,,,,,,
50057392,VINTNER WINE MARKET (BEERS & CHEESE),Manhattan,677,9 AVENUE,10036,2129577500,Sandwiches,12-10-19,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,20,,,10/24/2023,Cycle Inspection / Initial Inspection,40.7614032,-73.99047014,104,3,12700,1081687,1010560032,MN15,
40814300,CARVEL,Bronx,560,MORRIS AVENUE,10451,7184022300,Frozen Desserts,03/23/2023,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,33,,,10/24/2023,Cycle Inspection / Initial Inspection,40.8178809,-73.92251834,201,17,6500,2000918,2023310006,BX34,
41088825,SENECA FIESTA COFFEE BAR,Queens,603,SENECA AVENUE,11385,7183666011,Latin American,01/28/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,01/28/2023,10/24/2023,Cycle Inspection / Re-inspection,40.70404643,-73.90977531,405,34,54700,4082130,4034390012,QN20,
50114990,3 TIMES,Manhattan,9096,CLINTON ST,,9293077777,Chinese,04-03-23,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,09B,Thawing procedure improper.,Not Critical,71,,,10/24/2023,Cycle Inspection / Initial Inspection,0,0,,,,,1,,
50009455,VIVE LA CREPE,Manhattan,532,COLUMBUS AVENUE,10024,2129334342,French,02-04-20,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,10,A,02-04-20,10/24/2023,Cycle Inspection / Re-inspection,40.78622109,-73.97237111,107,6,16900,1032162,1012160033,MN12,
50056510,GINBO'S HAMBURGER HOUSE,Bronx,118,EAST  170 STREET,10452,3479634644,Hamburgers,09/28/2022,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,21,,,10/24/2023,Cycle Inspection / Compliance Inspection,40.83930403,-73.91533388,204,16,22102,2008084,2028420047,BX63,
50120002,FARMHOUSE RESTAURANT,Brooklyn,1968,86 STREET,11214,7188018818,Chinese,05-12-22,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,32,,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.60492403,-73.99880437,311,38,28400,3166864,3063740050,BK28,
41089876,SARABETH'S,Manhattan,40,CENTRAL PARK SOUTH,10019,2128265959,American,02/16/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,8,A,02/16/2023,10/24/2023,Cycle Inspection / Initial Inspection,40.76507882,-73.97487081,105,4,11201,1080443,1012740006,MN17,
50089206,DUNKIN,Manhattan,712,3 AVENUE,10017,2125325003,"Coffee,Tea",03/22/2022,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,03/22/2022,10/24/2023,Cycle Inspection / Initial Inspection,40.7524306,-73.9732442,106,4,9200,1036179,1012990038,MN19,
50065683,BARLEY DISFIGURED,Brooklyn,257,SMITH STREET,11231,9146326036,Tapas,04/28/2022,Violations were cited in the following area(s).,03B,"Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days.",Critical,24,,,10/24/2023,Cycle Inspection / Initial Inspection,40.68312812,-73.99288987,306,39,7500,3006694,3004150004,BK33,
50004170,JAQUELINE'S LOUNGE,Bronx,1201,MANOR AVENUE,10472,7186187402,Spanish,05-12-22,Establishment re-opened by DOHMH.,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,2,P,05-12-22,10/24/2023,Cycle Inspection / Reopening Inspection,40.82910501,-73.87644411,209,17,5400,2025283,2037750001,BX08,
50073366,LAROSA,Staten Island,1172,VICTORY BOULEVARD,10301,9294156000,Chicken,02-07-23,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,10,A,02-07-23,10/24/2023,Cycle Inspection / Re-inspection,40.61666664,-74.10292184,501,49,4700,5015428,5006040010,SI08,
50113072,TWIN DONUTS,Bronx,3,WEST FORDHAM ROAD,10468,7186180004,American,07/20/2022,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,24,N,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.8627823,-73.90133788,207,14,26500,2014361,2032000020,BX30,
50088568,REALCARIBBEANPOT RESTAURANT & BAKERY,Brooklyn,3018,CHURCH AVENUE,11226,3474259260,Caribbean,09-08-21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,26,,,10/24/2023,Cycle Inspection / Initial Inspection,40.6508056,-73.94929828,317,40,82400,3109237,3048840009,BK95,
50133392,SOPHIE'S CUBAN CUISINE,Manhattan,28,EAST   12 STREET,10003,2123822226,Spanish,04/24/2023,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,33,,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.73409028,-73.99323442,102,2,6100,1009280,1005690020,MN23,
50134305,KINSHIP COFFEE,Queens,3014,BROADWAY,11106,6465122106,Coffee/Tea,04/18/2023,Violations were cited in the following area(s).,08C,"Pesticide not properly labeled or used by unlicensed individual.  Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,31,,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.76224159,-73.92599101,401,22,5900,4430913,4005870034,QN70,
50035265,CHIPOTLE MEXICAN GRILL,Manhattan,325,SOUTH END AVENUE,10280,2122673818,Tex-Mex,05-10-23,Violations were cited in the following area(s).,19-Jul,"Failure to maintain a sufficient supply of single-use, non-compostable plastic straws.",Not Critical,,,,10/24/2023,Administrative Miscellaneous / Initial Inspection,40.71052825,-74.01621,101,1,31704,1083373,1000160100,MN25,
41536484,ANITA'S LUNCHEONETTE,Brooklyn,6100,16 AVENUE,11204,7182360796,American,07-11-22,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,51,,,10/24/2023,Cycle Inspection / Initial Inspection,40.6241867,-73.99264761,311,44,25000,3253321,3055230038,BK28,
50114524,JOOY TEA SHOPPE,Brooklyn,5306,8 AVENUE,11220,6469440092,Coffee/Tea,09-12-22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,25,,,10/24/2023,Cycle Inspection / Initial Inspection,40.63932703,-74.00558131,307,38,10600,3014440,3008180042,BK34,
50068339,NEW FOO SING,Staten Island,3979,AMBOY ROAD,10308,7183569554,Chinese,07/20/2022,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19,,,10/24/2023,Cycle Inspection / Initial Inspection,40.55053046,-74.15043313,503,51,14604,5070208,5054280001,SI54,
41544565,MCDERMOTT'S PUB,Bronx,2634,EAST TREMONT AVENUE,10461,7184924490,American,09-02-22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,35,,,10/24/2023,Cycle Inspection / Initial Inspection,40.84294874,-73.84625744,210,18,20000,2042412,2040020048,BX37,
50138565,LHASA SNACK CAFE,Queens,6911C,ROOSEVELT AVE,11377,6462093668,Asian/Asian Fusion,07/13/2023,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,20,N,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.74635646,-73.89612637,402,26,26300,4029705,4012820032,QN63,
50081955,STAND UP CAFE,Brooklyn,7215,18 AVENUE,11204,7182328866,Chinese,08/30/2021,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,64,,,10/24/2023,Cycle Inspection / Initial Inspection,40.61497805,-73.99435951,311,43,26600,3158517,3061940003,BK28,
50103590,MASALLAH SWEETS AND RESTAURANT,Brooklyn,663,CONEY ISLAND AVENUE,11218,7182078106,Middle Eastern,07-07-22,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,0,,,10/24/2023,Cycle Inspection / Initial Inspection,40.64106598,-73.96929301,314,40,152200,3118224,3051410152,BK42,
50078158,ZURUTTO RAMEN & GYOZA BAR,Manhattan,142,WEST   72 STREET,10023,2124980022,Japanese,05/30/2023,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,52,,,10/24/2023,Cycle Inspection / Initial Inspection,40.77802689,-73.98028918,107,6,15700,1081478,1011430049,MN14,
40546082,DON PEPI PIZZA,Manhattan,0,PENN STATION,10121,2129674385,Pizza,09/20/2022,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,0,,,10/24/2023,Cycle Inspection / Initial Inspection,40.75005923,-73.99210672,105,3,10100,1083026,1007810002,MN17,
50053935,BUONGIORNO BAGELS & CAFE,Queens,7010,88TH ST,11385,7188943356,Bagels/Pretzels,08-06-21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,,,10/24/2023,Cycle Inspection / Initial Inspection,40.71061449,-73.86489482,405,30,63700,4092500,4038090136,QN19,
50009667,EL GRAN CASTILLO DE JAGUA RESTAURANT,Brooklyn,355,FLATBUSH AVENUE,11238,7186228700,Latin American,03-08-23,Violations were cited in the following area(s).,09C,"Design, construction, materials used or maintenance of food contact surface improper.  Surface not easily cleanable, sanitized and maintained.",Not Critical,16,,,10/24/2023,Cycle Inspection / Initial Inspection,40.6768861,-73.97223632,308,35,16300,3029032,3011640010,BK64,
50095140,CHARO BROS RESTAURANT,Queens,4042,JUNCTION BLVD,11368,3478320335,Latin American,11-03-21,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,36,,,10/24/2023,Pre-permit (Operational) / Reopening Inspection,40.74815926,-73.86882447,404,21,46500,4039843,4015960029,QN29,
50126745,THE BOIL,Queens,4011,30TH AVE,11103,9173378006,Seafood,08/30/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,22,N,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.76372961,-73.91464696,401,22,14700,4010804,4006630043,QN70,
50122967,TANDOORI HUT,Queens,11908,94TH AVE,11419,3478090500,Indian,11/30/2022,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation not provided, inadequate, improperly installed, in disrepair or fails to prevent and control excessive build-up of grease, heat, steam condensation, vapors, odors, smoke or fumes.",Not Critical,8,A,11/30/2022,10/24/2023,Pre-permit (Operational) / Re-inspection,40.69374726,-73.82761295,409,28,14800,4199132,4094370004,QN54,
50114944,LADY CHOW KITCHEN,Manhattan,171,HESTER STREET,10013,2123439496,Chinese,01/31/2023,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,30,,,10/24/2023,Cycle Inspection / Initial Inspection,40.71777554,-73.99682907,102,1,4100,1083322,1002380038,MN24,
50119726,MATTO ESPRESSO,Manhattan,359,EAST   68 STREET,10065,9295093101,"Coffee,Tea",05-12-23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,22,,,10/24/2023,Cycle Inspection / Initial Inspection,40.76567806,-73.9588926,108,5,11800,1044795,1014437501,MN31,
50120936,CHICK IT OUT,Queens,3206,35TH ST,11106,3476043982,Thai,09-07-23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,42,N,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.76012032,-73.92249194,401,22,5900,4008837,4006220049,QN70,
41050171,CUBA,Manhattan,222,THOMPSON STREET,10012,2124207878,Latin American,07/18/2022,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,0,,,10/24/2023,Cycle Inspection / Initial Inspection,40.72916087,-73.99903304,102,1,6500,1008633,1005370008,MN23,
50114727,DAR 525,Brooklyn,525,GRAND STREET,11211,3474220401,Mediterranean,05/17/2022,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Critical,33,,,10/24/2023,Pre-permit (Operational) / Initial Inspection,40.71104557,-73.95018291,301,34,51300,3338177,3027790043,BK73,
50104930,LAILEILEI JUICE & SNACK BAR,Bronx,832,WESTCHESTER AVENUE,10455,3472972460,Latin American,12-01-21,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,Critical,13,A,12-01-21,10/24/2023,Cycle Inspection / Initial Inspection,40.8194435,-73.90204549,201,17,7900,2004992,2026760049,BX34,
50077895,"COURTYARD LONG ISLAND CITY, MANHATTAN VIEW",Queens,2915,QUEENS PLZ N,11101,7187860003,American,12-02-22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,12-02-22,10/24/2023,Cycle Inspection / Re-inspection,40.74984192,-73.93713912,401,26,3300,4596217,4004187501,QN68,
50076432,CHARACTERS KTV,Brooklyn,6117,20 AVENUE,11204,7187571081,Chinese/Japanese,06/20/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,06/20/2023,10/24/2023,Cycle Inspection / Initial Inspection,40.61863856,-73.9836323,311,43,24600,3132594,3055280003,BK88,
50056425,WENDY'S,Brooklyn,7811,FLATLANDS AVENUE,11236,7182511801,American,08/30/2021,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,,,10/24/2023,Cycle Inspection / Initial Inspection,40.63465391,-73.91461093,318,46,95000,3224166,3079990001,BK50,
50015981,SHUNDECK RESTAURANT,Brooklyn,2332,86 STREET,11214,9179339779,Chinese,04/13/2023,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,66,,,10/24/2023,Cycle Inspection / Initial Inspection,40.60005716,-73.99076333,311,43,30000,3185457,3068620039,BK29,
40984264,DUNKIN,Staten Island,1854,HYLAN BOULEVARD,10305,2019937035,Donuts,02/15/2023,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,02/15/2023,10/24/2023,Cycle Inspection / Re-inspection,40.58404354,-74.09488258,502,50,11201,5053011,5036560006,SI36,
41705757,DE HOT POT,Brooklyn,1127,WASHINGTON AVENUE,11225,3472401180,Caribbean,01/21/2022,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,01/21/2022,10/24/2023,Cycle Inspection / Initial Inspection,40.66141042,-73.96072324,309,40,79801,3035250,3013270106,BK60,
41252043,COBBLE HILL CINEMAS,Brooklyn,265,COURT STREET,11231,7185964995,American,08-12-21,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13,A,08-12-21,10/24/2023,Cycle Inspection / Initial Inspection,40.68494251,-73.99463841,306,39,6900,3006487,3004080009,BK38,
50080223,HULA POKE,Manhattan,1028,AMSTERDAM AVENUE,10025,9173798888,Hawaiian,05-11-22,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,0,,,10/24/2023,Cycle Inspection / Initial Inspection,40.80342546,-73.96354323,109,7,19900,1056909,1018820036,MN09,
50044736,GEBHARD'S BEER CULTURE,Manhattan,228,WEST   72 STREET,10023,9176393420,American,03/14/2020,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,35,,,10/24/2023,Cycle Inspection / Initial Inspection,40.77913345,-73.98290666,107,6,15900,1030427,1011630048,MN14,
50117956,GAIA NOMAYA,Brooklyn,510,FLATBUSH AVENUE,11225,5165216574,Middle Eastern,05/26/2022,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,05/26/2022,10/24/2023,Pre-permit (Operational) / Re-inspection,40.66191576,-73.96160241,309,40,32700,3000000,3050240053,BK60,
41581905,LE CHEILE,Manhattan,839,WEST  181 STREET,10033,2127403111,Irish,07/21/2022,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,39,,,10/24/2023,Cycle Inspection / Initial Inspection,40.85132772,-73.93990207,112,10,27300,1064343,1021790106,MN35,
