restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time
Nobu Next Door,Japanese,12.46,Weekend,4,35,28
Sushi of Gari Tribeca,Japanese,29.2,Weekend,5,32,22
Nobu Next Door,Japanese,15.76,Weekday,Not given,33,31
Balade,Middle Eastern,9.22,Weekday,5,25,24
Osteria Morini,Italian,8.88,Weekend,Not given,34,26
The Odeon,American,13.92,Weekend,Not given,34,23
RedFarm Hudson,Chinese,29.34,Weekend,5,27,29
Yama 49,Japanese,22.36,Weekend,Not given,33,25
Donburi-ya,Japanese,5.77,Weekend,Not given,27,29
Osteria Morini,Italian,12.13,Weekend,5,22,26
The Meatball Shop,American,6.69,Weekend,4,27,27
Chipotle Mexican Grill $1.99 Delivery,Mexican,15.57,Weekend,4,31,20
The Loop,Japanese,4.66,Weekend,Not given,34,25
RedFarm Broadway,Chinese,19.35,Weekend,5,33,18
The Meatball Shop,Italian,8.78,Weekday,5,34,33
Blue Ribbon Sushi,Japanese,9.17,Weekend,Not given,27,29
Shake Shack,American,29.1,Weekend,Not given,23,28
RedFarm Hudson,Chinese,5.77,Weekend,4,33,28
Posto,Italian,24.25,Weekend,Not given,23,25
The Meatball Shop,Italian,9.41,Weekday,5,30,32
Han Dynasty,Chinese,29.15,Weekend,Not given,31,19
Pepe Rosso To Go,Italian,15.57,Weekend,5,29,27
Nobu Next Door,Japanese,11.59,Weekend,5,26,24
Parm,Italian,16.3,Weekend,3,26,23
Mamoun's Falafel,Mediterranean,12.18,Weekday,5,25,30
RedFarm Hudson,Chinese,12.08,Weekday,Not given,21,26
The Kati Roll Company,Indian,17.03,Weekend,5,24,22
Terakawa Ramen,Japanese,8.54,Weekday,3,27,25
Nobu Next Door,Japanese,6.74,Weekend,Not given,31,29
Kambi Ramen House,Japanese,32.93,Weekend,5,35,19
Blue Ribbon Sushi,Japanese,12.18,Weekday,Not given,34,32
Blue Ribbon Sushi,Japanese,12.23,Weekend,3,33,21
Shake Shack,American,14.94,Weekday,Not given,33,31
Shake Shack,American,12.95,Weekday,5,20,30
Jack's Wife Freda,Mediterranean,25.17,Weekday,4,31,25
Blue Ribbon Sushi,Japanese,13.87,Weekend,Not given,28,28
Shake Shack,American,24.3,Weekend,4,35,16
Wo Hop Restaurant,Chinese,14.16,Weekend,4,22,16
The Smile,American,25.17,Weekend,3,31,15
Shake Shack,American,31.43,Weekend,5,30,19
Shake Shack,American,13.0,Weekend,Not given,20,18
Blue Ribbon Fried Chicken,American,24.2,Weekend,Not given,28,29
Shake Shack,American,12.66,Weekend,5,35,24
Momoya,Japanese,6.84,Weekday,Not given,21,24
Spice Thai,Thai,15.86,Weekend,Not given,34,25
Cafe Habana,Mexican,9.75,Weekday,5,34,30
da Umberto,Italian,7.61,Weekend,Not given,23,26
Sushi of Gari 46,Japanese,29.05,Weekend,Not given,21,23
Room Service,Thai,22.31,Weekend,Not given,22,15
Dickson's Farmstand Meats,American,15.72,Weekend,4,23,28
TAO,Japanese,25.22,Weekend,Not given,26,16
Xi'an Famous Foods,Chinese,24.3,Weekend,4,32,29
J. G. Melon,American,8.35,Weekend,5,29,23
Momoya,Japanese,22.85,Weekend,4,32,17
UVA Wine Bar & Restaurant,Italian,29.15,Weekend,Not given,29,30
Blue Ribbon Sushi Bar & Grill,Japanese,19.35,Weekday,5,23,28
Jack's Wife Freda,Mediterranean,32.93,Weekend,3,21,16
Momoya,Japanese,14.21,Weekend,Not given,24,30
Donburi-ya,Japanese,15.86,Weekday,5,28,28
TAO,Japanese,15.28,Weekend,4,33,22
The Meatball Shop,Italian,12.13,Weekend,5,34,16
The Meatball Shop,Italian,22.36,Weekend,4,35,21
Shake Shack,American,5.68,Weekend,Not given,26,18
Sushi of Gari Tribeca,Japanese,29.15,Weekend,4,22,17
Waverly Diner,American,22.8,Weekend,4,25,21
The Meatball Shop,Italian,19.45,Weekend,5,21,19
Vanessa's Dumpling House,Chinese,15.52,Weekend,5,20,23
Blue Ribbon Sushi,Japanese,25.27,Weekend,3,20,20
The Meatball Shop,Italian,32.93,Weekend,5,34,29
S'MAC,American,24.2,Weekend,Not given,28,17
Rubirosa,Italian,24.2,Weekend,5,31,15
Shake Shack,American,14.65,Weekday,Not given,26,33
Shake Shack,American,12.08,Weekend,3,29,24
Rubirosa,Italian,5.77,Weekend,Not given,27,21
P.J. Clarke's,American,4.71,Weekend,Not given,23,15
Blue Ribbon Fried Chicken,American,8.78,Weekend,Not given,22,26
Blue Ribbon Sushi Izakaya,Japanese,12.23,Weekend,3,34,25
RedFarm Broadway,Chinese,12.23,Weekend,4,21,21
Blue Ribbon Fried Chicken,American,29.15,Weekday,5,20,29
Burger Joint,American,13.1,Weekend,Not given,22,18
Chipotle Mexican Grill $1.99 Delivery,Mexican,22.26,Weekend,4,21,21
Parm,Italian,12.56,Weekday,Not given,32,28
Sushi of Gari 46,Japanese,13.05,Weekend,Not given,24,22
Rubirosa,Italian,13.92,Weekend,Not given,29,27
Balthazar Boulangerie,French,21.39,Weekend,Not given,35,29
Blue Ribbon Sushi,Japanese,29.25,Weekend,Not given,33,17
Burger Joint,American,12.18,Weekend,4,35,15
Shake Shack,American,12.18,Weekend,Not given,26,25
ilili Restaurant,Middle Eastern,12.66,Weekend,5,21,15
RedFarm Hudson,Chinese,12.18,Weekend,Not given,24,27
Bareburger,American,8.63,Weekend,4,21,22
Tamarind TriBeCa,Indian,12.18,Weekend,Not given,26,30
Sushi of Gari Tribeca,Japanese,14.12,Weekend,Not given,21,29
Blue Ribbon Sushi,Japanese,16.93,Weekend,4,30,25
Parm,Italian,6.79,Weekend,3,21,30
Han Dynasty,Chinese,29.2,Weekend,Not given,26,30
RedFarm Broadway,Chinese,14.02,Weekday,Not given,25,26
Nobu Next Door,Japanese,25.17,Weekend,4,31,29
RedFarm Broadway,Chinese,12.61,Weekend,5,28,21
Serafina Fabulous Pizza,Italian,13.68,Weekend,5,20,20
Blue Ribbon Sushi,Japanese,11.93,Weekend,3,24,21
Lantern Thai Kitchen,Thai,13.97,Weekend,Not given,28,29
The Meatball Shop,Italian,14.02,Weekday,5,20,27
Blue Ribbon Sushi,Japanese,8.1,Weekend,5,35,18
Jack's Wife Freda,Mediterranean,12.18,Weekend,3,33,23
Pylos,Mediterranean,35.41,Weekday,4,21,29
Gaia Italian Cafe,Italian,8.78,Weekend,Not given,25,15
Shake Shack,American,16.25,Weekend,5,27,23
Blue Ribbon Sushi,Japanese,6.64,Weekend,Not given,23,15
The Meatball Shop,American,15.86,Weekday,5,29,26
Parm,Italian,17.03,Weekday,3,21,27
Bareburger,American,24.2,Weekend,4,23,23
J. G. Melon,American,8.25,Weekday,3,34,33
Five Guys Burgers and Fries,American,12.08,Weekend,Not given,20,18
CafÌ© China,Chinese,12.13,Weekend,Not given,27,25
ilili Restaurant,Middle Eastern,16.49,Weekend,4,30,28
Blue Ribbon Sushi Izakaya,Japanese,6.79,Weekend,5,32,30
Sushi of Gari,Japanese,10.72,Weekday,Not given,30,26
Piccolo Angolo,Italian,19.35,Weekend,Not given,29,29
Chola Eclectic Indian Cuisine,Indian,8.73,Weekend,5,30,28
TAO,Japanese,9.65,Weekend,4,25,18
Vanessa's Dumplings,Chinese,16.78,Weekend,5,27,29
Mamoun's Falafel,Mediterranean,12.61,Weekend,4,21,17
RedFarm Broadway,Chinese,24.25,Weekend,5,29,22
Westville Hudson,American,11.16,Weekend,4,24,20
Pongsri Thai,Thai,20.18,Weekday,Not given,23,25
Blue Ribbon Sushi Izakaya,Japanese,32.93,Weekend,4,21,19
Parm,Italian,15.86,Weekday,Not given,30,24
Parm,Italian,12.13,Weekend,4,29,26
Blue Ribbon Sushi,Japanese,13.87,Weekday,Not given,31,30
Rubirosa,Italian,14.12,Weekday,3,26,27
TAO,Japanese,24.25,Weekend,4,22,21
Blue Ribbon Sushi,Japanese,14.07,Weekday,Not given,35,29
indikitch,Indian,5.58,Weekend,Not given,35,30
Prosperity Dumpling,Chinese,13.63,Weekend,5,25,24
RedFarm Hudson,Chinese,15.52,Weekend,5,30,18
Shake Shack,American,8.73,Weekend,Not given,35,17
Melt Shop,American,25.27,Weekend,5,27,30
Hot Kitchen,Chinese,29.54,Weekend,5,34,28
Junoon,Indian,9.22,Weekday,Not given,30,32
Blue Ribbon Fried Chicken,American,15.33,Weekend,Not given,23,15
Tamarind TriBeCa,Indian,12.13,Weekend,Not given,35,20
Han Dynasty,Chinese,14.02,Weekend,Not given,24,15
The Smile,American,8.39,Weekday,Not given,20,31
Han Dynasty,Chinese,12.13,Weekend,5,33,27
The Meatball Shop,Italian,16.49,Weekend,3,22,28
Osteria Morini,Italian,9.22,Weekday,4,29,33
The Meatball Shop,Italian,19.35,Weekend,Not given,27,20
RedFarm Broadway,Chinese,22.8,Weekday,Not given,33,33
Shake Shack,American,29.49,Weekend,Not given,34,24
Ravagh Persian Grill,Middle Eastern,16.93,Weekend,Not given,33,21
Rohm Thai,Thai,29.1,Weekend,Not given,31,23
RedFarm Hudson,Chinese,15.04,Weekend,3,35,25
Momoya,Japanese,11.59,Weekend,3,24,29
Hill Country Fried Chicken,Southern,31.43,Weekday,5,25,28
Blue Ribbon Fried Chicken,American,18.24,Weekend,Not given,21,16
Nobu Next Door,Japanese,4.47,Weekend,5,28,26
Vanessa's Dumplings,Chinese,8.98,Weekend,Not given,20,20
Shake Shack,American,29.39,Weekday,Not given,23,33
Dig Inn Seasonal Market,American,15.71,Weekday,5,27,26
Shake Shack,American,29.1,Weekday,5,29,31
Bareburger,American,8.39,Weekend,3,27,30
Blue Ribbon Sushi Izakaya,Japanese,8.93,Weekend,5,28,18
Han Dynasty,Chinese,13.0,Weekend,4,32,22
Dos Caminos,Mexican,16.06,Weekend,Not given,35,19
Olea,Mediterranean,6.69,Weekday,Not given,20,28
Shake Shack,American,16.1,Weekend,Not given,28,24
Jack's Wife Freda,Mediterranean,6.69,Weekend,5,21,16
Nobu Next Door,Japanese,9.51,Weekend,Not given,25,29
TAO,Japanese,12.08,Weekend,Not given,24,30
Blue Ribbon Sushi,Japanese,5.82,Weekday,Not given,27,28
Nobu Next Door,Japanese,9.41,Weekend,Not given,32,30
Xe May Sandwich Shop,Vietnamese,14.07,Weekday,Not given,28,28
Rubirosa,Italian,22.8,Weekday,5,32,27
Cafeteria,American,12.23,Weekday,Not given,26,25
Blue Ribbon Sushi Bar & Grill,Japanese,15.91,Weekend,Not given,31,16
Otto Enoteca Pizzeria,Italian,9.61,Weekend,5,26,30
Shake Shack,American,8.0,Weekend,4,24,30
RedFarm Hudson,Chinese,12.08,Weekend,Not given,21,24
Shake Shack,American,12.08,Weekday,Not given,27,27
Rubirosa,Italian,14.12,Weekend,Not given,33,15
Sarabeth's Restaurant,American,21.93,Weekend,Not given,25,27
Cafe Mogador,Middle Eastern,15.91,Weekend,5,32,15
Amy Ruth's,Southern,7.38,Weekday,4,24,29
Shake Shack,American,21.39,Weekend,4,28,18
Cho Dang Gol,Korean,29.25,Weekend,4,23,21
El Parador Cafe,Mexican,13.19,Weekday,5,22,28
Vanessa's Dumplings,Chinese,15.57,Weekend,5,33,28
Parm,Italian,19.45,Weekday,Not given,28,28
Shake Shack,American,25.17,Weekend,5,27,26
RedFarm Hudson,Chinese,19.35,Weekend,4,31,15
TAO,Japanese,12.61,Weekend,5,32,24
Chipotle Mexican Grill $1.99 Delivery,Mexican,12.13,Weekend,5,34,19
Jack's Wife Freda,Mediterranean,12.08,Weekend,5,30,19
Dirty Bird to Go,American,12.08,Weekday,Not given,23,32
Blue Ribbon Sushi Izakaya,Japanese,9.51,Weekend,Not given,35,21
Blue Ribbon Sushi Bar & Grill,Japanese,4.85,Weekend,5,20,21
Blue Ribbon Fried Chicken,American,14.07,Weekday,4,34,24
Chipotle Mexican Grill $1.99 Delivery,Mexican,29.1,Weekend,5,24,28
Socarrat Paella Bar,Spanish,25.22,Weekend,5,23,20
The Meatball Shop,Italian,31.33,Weekend,3,30,15
Shake Shack,American,17.03,Weekday,5,35,32
Don's Bogam BBQ & Wine Bar,Korean,12.23,Weekend,Not given,32,20
Tamarind TriBeCa,Indian,6.07,Weekend,4,30,17
Shake Shack,American,10.82,Weekend,4,34,20
Han Dynasty,Chinese,9.51,Weekday,Not given,24,27
Bareburger,American,8.73,Weekend,5,21,19
Blue Ribbon Sushi Izakaya,Japanese,12.23,Weekday,Not given,26,26
da Umberto,Italian,32.98,Weekend,Not given,30,28
Parm,Italian,19.35,Weekday,4,23,26
Xi'an Famous Foods,Chinese,19.45,Weekend,5,28,18
Five Leaves,American,6.26,Weekday,5,31,26
Alidoro,American,12.61,Weekend,Not given,34,22
RedFarm Broadway,Chinese,13.1,Weekend,4,26,22
Tony's Di Napoli,Italian,14.07,Weekend,Not given,22,27
Shake Shack,American,15.57,Weekend,Not given,35,18
Bareburger,American,13.05,Weekend,4,31,30
Blue Ribbon Sushi Izakaya,Japanese,16.44,Weekend,Not given,32,23
Blue Ribbon Sushi,Japanese,8.54,Weekend,5,34,25
Nobu Next Door,Japanese,12.13,Weekend,Not given,28,16
Westville Hudson,American,33.03,Weekend,5,25,18
Cipriani Le Specialita,Italian,5.92,Weekend,5,35,30
The Meatball Shop,Italian,32.98,Weekday,3,23,25
Shake Shack,American,16.25,Weekday,5,27,31
Blue Ribbon Sushi,Japanese,29.1,Weekend,5,20,16
The Meatball Shop,Italian,12.08,Weekday,Not given,25,28
Cafe Habana,Mexican,8.25,Weekend,4,21,29
RedFarm Broadway,Chinese,8.2,Weekend,4,31,30
Shake Shack,American,22.36,Weekday,3,20,32
Chipotle Mexican Grill $1.99 Delivery,Mexican,16.44,Weekday,Not given,33,30
The Loop,Japanese,24.3,Weekend,5,21,29
The Meatball Shop,Italian,8.63,Weekday,4,28,27
Momoya,Japanese,9.02,Weekend,Not given,21,30
Blue Ribbon Sushi,Japanese,12.08,Weekend,5,31,16
TAO,Japanese,15.76,Weekend,Not given,26,19
Burger Joint,American,21.88,Weekend,5,26,24
Barbounia,Mediterranean,5.77,Weekend,Not given,23,23
Shake Shack,American,32.98,Weekend,3,22,21
RedFarm Hudson,Chinese,29.1,Weekday,Not given,27,26
Five Guys Burgers and Fries,American,14.12,Weekend,4,28,25
Blue Ribbon Sushi,Japanese,11.59,Weekend,Not given,26,23
Blue Ribbon Fried Chicken,American,9.75,Weekday,5,23,32
Five Guys Burgers and Fries,American,12.18,Weekend,Not given,22,26
Empanada Mama (closed),Mexican,15.57,Weekend,4,24,20
Shake Shack,American,24.25,Weekend,5,34,24
Blue Ribbon Fried Chicken,American,31.38,Weekend,3,35,20
Shake Shack,American,15.76,Weekday,5,30,24
Blue Ribbon Sushi,Japanese,24.25,Weekday,5,30,26
Tony's Di Napoli,Italian,29.1,Weekend,Not given,26,19
Han Dynasty,Chinese,12.08,Weekend,5,22,23
Blue Ribbon Fried Chicken,American,12.13,Weekend,Not given,21,28
Blue Ribbon Sushi,Japanese,15.86,Weekend,Not given,33,15
Shake Shack,American,14.07,Weekend,5,33,25
Saravanaa Bhavan,Indian,24.25,Weekday,5,29,26
Sushi Choshi,Japanese,13.73,Weekend,3,35,27
The Smile,American,12.18,Weekday,5,29,27
Chipotle Mexican Grill $1.99 Delivery,Mexican,29.05,Weekend,Not given,28,27
RedFarm Broadway,Chinese,32.98,Weekend,4,25,15
Cafe Habana,Mexican,6.69,Weekday,5,26,31
The Meatball Shop,Italian,24.3,Weekend,Not given,33,21
Rubirosa,Italian,7.33,Weekend,5,26,22
RedFarm Hudson,Chinese,9.12,Weekday,5,29,26
Sarabeth's East,American,12.13,Weekend,Not given,34,30
Kanoyama,Japanese,32.98,Weekend,5,35,16
UVA Wine Bar & Restaurant,Italian,14.65,Weekday,5,32,25
Parm,Italian,31.33,Weekend,Not given,24,16
RedFarm Broadway,Chinese,9.65,Weekend,5,30,20
Blue Ribbon Fried Chicken,American,12.95,Weekend,5,27,28
P.J. Clarke's,American,21.34,Weekday,5,25,28
Shake Shack,American,19.4,Weekend,5,32,15
RedFarm Hudson,Chinese,6.69,Weekend,Not given,24,20
Blue Ribbon Sushi,Japanese,12.13,Weekday,Not given,26,27
Nobu Next Door,Japanese,15.91,Weekend,4,26,15
Shake Shack,American,5.77,Weekend,4,28,18
The Meatball Shop,Italian,12.23,Weekend,5,24,17
The Meatball Shop,Italian,12.23,Weekend,5,25,19
Shake Shack,American,12.18,Weekend,Not given,35,29
Tamarind TriBeCa,Indian,11.64,Weekend,Not given,33,23
V-Nam Cafe,Vietnamese,22.26,Weekend,5,33,26
Don's Bogam BBQ & Wine Bar,Korean,14.07,Weekend,3,33,16
Blue Ribbon Sushi,Japanese,16.49,Weekend,3,24,30
The Meatball Shop,Italian,9.65,Weekday,5,34,28
Parm,Italian,12.23,Weekend,Not given,21,30
Han Dynasty,Chinese,12.18,Weekday,Not given,26,26
Sushi of Gari Tribeca,Japanese,12.13,Weekend,Not given,25,30
Blue Ribbon Sushi,Japanese,12.95,Weekend,5,25,16
Momoya,Japanese,19.4,Weekend,4,27,16
RedFarm Hudson,Chinese,29.1,Weekend,Not given,27,28
Han Dynasty,Chinese,29.15,Weekday,Not given,20,24
Amma,Indian,31.43,Weekday,5,20,27
Blue Ribbon Sushi,Japanese,16.15,Weekend,3,23,21
ilili Restaurant,Middle Eastern,8.97,Weekend,Not given,24,19
Blue Ribbon Sushi Bar & Grill,Japanese,15.28,Weekday,Not given,24,29
Shake Shack,American,10.24,Weekend,Not given,22,21
Vanessa's Dumpling House,Chinese,29.1,Weekday,Not given,22,25
Blue Ribbon Sushi,Japanese,12.9,Weekday,3,25,31
Otto Enoteca Pizzeria,Italian,29.05,Weekend,5,24,18
Blue Ribbon Sushi,Japanese,19.35,Weekend,5,26,23
TAO,Japanese,12.71,Weekend,3,22,17
Blue Ribbon Sushi,Japanese,24.3,Weekend,5,32,28
The Smile,American,12.08,Weekend,5,27,25
ilili Restaurant,Middle Eastern,29.25,Weekend,3,27,21
Tortaria,Mexican,13.05,Weekend,5,23,19
Shake Shack,American,25.22,Weekend,4,35,27
Shake Shack,American,12.95,Weekend,Not given,32,19
Nobu Next Door,Japanese,16.06,Weekend,Not given,31,23
Shake Shack,American,29.05,Weekend,5,21,22
Bareburger,American,5.63,Weekend,4,32,30
Shake Shack,American,19.4,Weekend,5,32,24
Parm,Italian,25.17,Weekday,4,33,32
Bareburger,American,25.22,Weekday,3,31,27
Hill Country Fried Chicken,Southern,14.84,Weekend,4,21,21
The Meatball Shop,Italian,6.69,Weekend,Not given,25,22
The Meatball Shop,Italian,22.36,Weekend,5,32,21
TAO,Japanese,15.28,Weekend,5,20,27
Parm,Italian,8.2,Weekday,Not given,34,24
Shake Shack,American,22.31,Weekday,Not given,33,32
Tamarind TriBeCa,Indian,12.23,Weekend,4,21,21
Bubby's ,American,12.18,Weekday,4,28,31
Shake Shack,American,12.61,Weekend,4,29,19
Rubirosa,Italian,14.12,Weekday,4,26,32
Hatsuhana,Japanese,14.07,Weekend,5,27,24
Han Dynasty,Chinese,12.18,Weekday,3,33,29
Blue Ribbon Sushi,Japanese,17.07,Weekend,4,27,15
The Meatball Shop,Italian,12.18,Weekend,5,25,28
Blue Ribbon Sushi,Japanese,8.83,Weekend,4,20,19
Sushi of Gari 46,Japanese,14.31,Weekend,Not given,27,25
TAO,Japanese,25.22,Weekend,5,28,17
Terakawa Ramen,Japanese,14.65,Weekend,4,30,16
Blue Ribbon Sushi,Japanese,12.71,Weekday,Not given,24,28
Rubirosa,Italian,21.88,Weekend,4,28,27
Blue Ribbon Sushi Bar & Grill,Japanese,12.95,Weekday,Not given,28,28
Sushi of Gari Tribeca,Japanese,8.63,Weekend,5,33,28
Blue Ribbon Fried Chicken,American,21.83,Weekend,Not given,20,27
RedFarm Broadway,Chinese,5.48,Weekend,3,27,18
Parm,Italian,22.36,Weekend,Not given,27,27
Blue Ribbon Sushi,Japanese,12.13,Weekend,5,31,29
Blue Ribbon Fried Chicken,American,12.18,Weekend,Not given,25,17
Zero Otto Nove,Italian,12.18,Weekday,4,29,25
Bareburger,American,12.18,Weekday,3,25,24
TAO,Japanese,22.12,Weekday,5,32,30
Shake Shack,American,33.03,Weekday,Not given,31,28
Joe's Shanghai _Àü£¾÷´,Chinese,16.1,Weekend,5,31,22
The Smile,American,22.26,Weekend,5,25,26
Blue Ribbon Sushi Izakaya,Japanese,19.45,Weekday,5,33,32
Shake Shack,American,15.77,Weekend,3,29,20
The Meatball Shop,Italian,14.7,Weekday,5,30,24
Shake Shack,American,14.07,Weekend,3,21,27
ilili Restaurant,Middle Eastern,13.73,Weekday,5,22,33
Shake Shack,American,12.61,Weekend,4,26,25
Shake Shack,American,8.34,Weekend,5,21,30
Blue Ribbon Sushi,Japanese,12.18,Weekend,4,27,16
The Meatball Shop,Italian,29.15,Weekend,5,29,27
Blue Ribbon Sushi Bar & Grill,Japanese,24.25,Weekend,5,25,26
Blue Ribbon Sushi,Japanese,12.32,Weekday,Not given,29,27
Shake Shack,American,15.96,Weekday,4,28,27
Blue Ribbon Fried Chicken,American,6.45,Weekend,4,30,24
Five Guys Burgers and Fries,American,24.3,Weekend,5,28,18
RedFarm Hudson,Chinese,12.56,Weekend,3,20,22
Hill Country Fried Chicken,Southern,22.31,Weekday,3,21,25
Sushi of Gari,Japanese,15.52,Weekend,Not given,20,16
Dos Caminos,Mexican,6.74,Weekend,5,32,26
Blue Ribbon Sushi Bar & Grill,Japanese,6.02,Weekday,Not given,29,25
J. G. Melon,American,6.74,Weekend,5,20,29
Mira Sushi,Japanese,11.79,Weekend,Not given,32,26
TAO,Japanese,29.05,Weekend,4,35,24
Blue Ribbon Sushi Bar & Grill,Japanese,19.35,Weekend,Not given,23,17
L'Express,French,11.98,Weekday,5,21,28
Blue Ribbon Sushi Bar & Grill,Japanese,11.69,Weekday,5,21,28
Blue Ribbon Sushi,Japanese,16.44,Weekend,5,30,29
RedFarm Hudson,Chinese,20.32,Weekday,5,30,29
Blue Ribbon Sushi,Japanese,14.02,Weekend,4,23,18
RedFarm Broadway,Chinese,9.07,Weekend,4,35,17
Mamoun's Falafel,Mediterranean,5.92,Weekday,Not given,31,33
Shake Shack,American,15.52,Weekend,5,33,17
Jack's Wife Freda,Mediterranean,22.31,Weekend,Not given,23,28
Parm,Italian,28.57,Weekday,5,22,32
Shake Shack,American,24.25,Weekend,4,27,30
Cafeteria,American,12.08,Weekend,3,35,28
Blue Ribbon Sushi,Japanese,22.07,Weekend,4,33,15
Shake Shack,American,21.29,Weekend,Not given,35,21
S'MAC,American,16.49,Weekend,5,27,19
P.J. Clarke's,American,25.27,Weekday,5,34,29
Blue Ribbon Fried Chicken,American,11.64,Weekend,5,24,16
Don's Bogam BBQ & Wine Bar,Korean,12.61,Weekend,4,25,26
The Meatball Shop,Italian,13.0,Weekend,5,34,26
The Meatball Shop,American,31.43,Weekend,Not given,31,22
Junoon,Indian,25.17,Weekday,Not given,23,24
Blue Ribbon Sushi Bar & Grill,Japanese,9.12,Weekend,3,27,27
Parm,Italian,31.43,Weekday,5,28,25
Jack's Wife Freda,Mediterranean,29.05,Weekend,5,35,28
Yama 49,Japanese,31.33,Weekend,5,21,27
Sarabeth's Restaurant,American,24.25,Weekend,5,23,24
Shake Shack,American,12.37,Weekend,3,28,28
Blue Ribbon Fried Chicken,American,24.25,Weekend,Not given,27,21
Sushi of Gari 46,Japanese,29.05,Weekend,3,35,26
Shake Shack,American,5.63,Weekend,Not given,27,16
RedFarm Hudson,Chinese,9.51,Weekend,3,29,26
Blue Ribbon Sushi Izakaya,Japanese,15.76,Weekend,4,33,23
Shake Shack,American,11.64,Weekend,Not given,23,29
Blue Ribbon Sushi,Japanese,12.13,Weekend,5,30,28
TAO,Japanese,14.99,Weekend,Not given,24,21
The Meatball Shop,American,12.18,Weekend,4,23,22
Dos Caminos Soho,Mexican,12.66,Weekday,5,24,30
Parm,Italian,12.08,Weekend,5,30,25
Saravanaa Bhavan,Indian,15.52,Weekday,5,33,26
Go! Go! Curry!,Japanese,20.18,Weekend,3,22,29
Blue Ribbon Sushi,Japanese,31.43,Weekend,5,24,17
J. G. Melon,American,12.18,Weekend,Not given,32,22
La Follia,Italian,8.05,Weekend,Not given,28,20
The Meatball Shop,Italian,14.41,Weekend,Not given,28,28
Izakaya Ten,Japanese,12.23,Weekday,5,23,24
Blue Ribbon Sushi,Japanese,13.0,Weekday,5,22,31
The Kati Roll Company,Indian,24.2,Weekend,5,26,16
TAO,Japanese,14.75,Weekend,5,35,19
Nobu Next Door,Japanese,5.77,Weekend,4,25,29
Hot Kitchen,Chinese,13.0,Weekend,5,32,25
Blue Ribbon Sushi Izakaya,Japanese,29.05,Weekday,4,28,25
Rubirosa,Italian,12.23,Weekend,Not given,21,18
Cafe Mogador,Middle Eastern,29.88,Weekend,4,20,17
Blue Ribbon Fried Chicken,American,20.23,Weekday,4,20,26
Shake Shack,American,4.8,Weekend,4,22,24
Serafina Fabulous Pizza,Italian,14.84,Weekday,3,35,31
Blue Ribbon Sushi,Japanese,24.25,Weekend,5,35,16
Nobu Next Door,Japanese,12.18,Weekend,5,32,23
Blue Ribbon Fried Chicken,American,10.14,Weekend,4,21,17
Han Dynasty,Chinese,12.13,Weekend,Not given,20,25
Xi'an Famous Foods,Chinese,14.12,Weekend,4,32,19
Tony's Di Napoli,Italian,11.3,Weekend,4,35,29
Lantern Thai Kitchen,Thai,32.93,Weekend,Not given,34,27
RedFarm Broadway,Chinese,24.2,Weekday,Not given,22,33
Blue Ribbon Fried Chicken,American,8.44,Weekend,3,31,18
Shake Shack,American,24.25,Weekday,5,20,27
P.J. Clarke's,American,31.43,Weekend,4,31,23
Sushi of Gari Tribeca,Japanese,9.46,Weekend,Not given,22,29
Tony's Di Napoli,Italian,15.81,Weekend,5,35,30
Westville Hudson,American,12.18,Weekend,3,20,25
The Kati Roll Company,Indian,29.25,Weekend,Not given,30,21
Han Dynasty,Chinese,6.84,Weekend,5,22,22
Nobu Next Door,Japanese,12.66,Weekend,Not given,20,21
Parm,Italian,12.18,Weekend,Not given,32,26
Blue Ribbon Fried Chicken,American,33.03,Weekend,5,35,25
12 Chairs,Middle Eastern,16.3,Weekday,4,27,26
Blue Ribbon Sushi,Japanese,12.95,Weekend,Not given,22,23
Kanoyama,Japanese,25.27,Weekday,Not given,29,33
Blue Ribbon Sushi,Japanese,6.74,Weekend,4,22,28
Parm,Italian,21.88,Weekend,4,23,30
Bhatti Indian Grill,Indian,32.98,Weekday,Not given,32,30
Westville Hudson,American,16.98,Weekend,5,34,20
The Meatball Shop,Italian,11.59,Weekday,Not given,21,30
RedFarm Hudson,Chinese,12.18,Weekend,Not given,22,27
Philippe Chow,Chinese,24.2,Weekday,5,28,30
Bukhara Grill,Indian,16.54,Weekend,5,23,17
Sushi of Gari Tribeca,Japanese,9.27,Weekend,Not given,20,17
RedFarm Broadway,Chinese,24.3,Weekday,5,24,31
Donburi-ya,Japanese,12.18,Weekend,Not given,23,23
Chipotle Mexican Grill $1.99 Delivery,Mexican,12.13,Weekend,3,34,25
12 Chairs,Middle Eastern,29.1,Weekend,Not given,22,26
Blue Ribbon Sushi Bar & Grill,Japanese,12.37,Weekend,Not given,21,16
Dirty Bird To Go (archived),American,12.13,Weekend,4,22,27
Blue Ribbon Sushi Izakaya,Japanese,18.24,Weekend,5,32,22
The MasalaWala,Indian,12.13,Weekend,4,32,15
Han Dynasty,Chinese,12.08,Weekend,5,27,29
Blue Ribbon Sushi,Japanese,6.79,Weekday,5,21,29
Blue Ribbon Sushi,Japanese,12.13,Weekend,5,26,17
TAO,Japanese,29.49,Weekday,Not given,22,32
Vezzo Thin Crust Pizza,Italian,13.05,Weekend,5,31,27
Shake Shack,American,15.77,Weekend,4,35,23
