release_name,artist_name,release_date,genres,descriptors,avg_rating,rating_count,review_count
The Show,Niall Horan,2023-06-09,"Pop Rock, Alt-Pop, Singer-Songwriter","lush, romantic, melodic, love, male vocalist",2.94,306,8.0
Guy,Jayda G,2023-06-09,"Deep House, Dance-Pop, Contemporary R&B, Nu-Disco, 2-Step","female vocalist, melodic",2.96,267,
O Monolith,Squid,2023-06-09,"Experimental Rock, Art Punk, Noise Rock, Krautrock, Post-Rock, Art Rock","male vocalist, anxious, noisy, eclectic, uncommon time signatures, progressive, manic, dense, complex, avant-garde, chaotic, rhythmic, energetic, dissonant, quirky, alienation, cryptic, surreal, abstract, dark, ominous, mysterious, pessimistic, passionate, futuristic, technical, apocalyptic, atmospheric, hypnotic, sarcastic",3.65,8129,107.0
The Age of Pleasure,Janelle Monáe,2023-06-09,"Contemporary R&B, Pop, Pop Reggae, Afrobeats, Pop Rap, Dancehall, Lovers Rock","summer, sexual, hedonistic, LGBT, sensual, tropical, warm, love, lush, boastful, non-binary vocalist, triumphant, party, aquatic, female vocalist, romantic, rhythmic, psychedelic, concept album, alcohol, atmospheric, hypnotic, passionate",2.99,2957,45.0
"Paranoïa, Angels, True Love",Christine and the Queens,2023-06-09,"Art Pop, Alt-Pop, Trip Hop, Alternative R&B, Ambient Pop, Synthpop, Post-Rock, Progressive Pop, Darkwave","LGBT, male vocalist, spiritual, passionate, atmospheric, epic, ethereal, existential, introspective, melodic, surreal, concept album, hypnotic, psychedelic, eclectic, androgynous vocals, love, dense, dark, nocturnal, lonely, alienation, melancholic, mysterious, non-binary vocalist, fantasy, progressive",3.46,1061,14.0
Split Decision,Dave & Central Cee,2023-06-04,"UK Drill, UK Hip Hop, Conscious Hip Hop, Sample Drill","introspective, male vocalist, sexual, rhythmic, boastful, hedonistic, urban, party",3.09,590,4.0
SHALALA,태용 [Taeyong],2023-06-05,"K-Pop, Contemporary R&B, Pop Rap","male vocalist, melancholic, longing, love, introspective, rhythmic, mellow, boastful",2.9,197,1.0
Dismantled Into Juice,Blawan,2023-05-17,"UK Bass, Wonky Techno, Deconstructed Club, Wonky","mechanical, rhythmic, hypnotic, dissonant, raw, noisy, aggressive, futuristic, anxious, repetitive, instrumental, quirky, surreal, nocturna",3.34,527,2.0
But Here We Are,Foo Fighters,2023-06-02,"Alternative Rock, Power Pop, Post-Grunge, Shoegaze","death, male vocalist, melodic, anthemic, bittersweet, energetic, sentimental, introspective, rhythmic, existential, heavy, longing, melancholic, dense, warm, sombre, passionate, lonely, serious, atmospheric, ethereal",3.56,5118,76.0
Metro Boomin Presents Spider-Man: Across the Spider-Verse,Metro Boomin,2023-06-02,"Film Soundtrack, Pop Rap, Trap, Afrobeats, Contemporary R&B, Cloud Rap, Alternative R&B","male vocalist, female vocalist, optimistic, triumphant, urban, boastful, rhythmic, melodic, hedonistic, sampling",2.96,2295,19.0
Formal Growth in the Desert,Protomartyr,2023-06-02,"Post-Punk, Art Punk, Gothic Rock, Noise Rock","male vocalist, dark, rhythmic, atmospheric, dense, melancholic, bittersweet, energetic, abstract, existential, poetic, passionate, urban, noisy, ominous, love, mysterious, heavy",3.45,2785,29.0
Bunny,Beach Fossils,2023-06-02,"Jangle Pop, Indie Pop, Dream Pop, Indie Surf, Neo-Psychedelia","male vocalist, mellow, calm, soft, ethereal, warm, summer, soothing, urban, melodic, longing, lush, sentimental, love, atmospheric, bittersweet",3.29,929,9.0
Everyone's Crushed,Water From Your Eyes,2023-05-26,"Experimental Rock, Art Pop, Neo-Psychedelia, Post-Industrial, No Wave, Dance-Punk","apathetic, urban, dissonant, noisy, energetic, chaotic, non-binary vocalist, rhythmic, eclectic, avant-garde, cryptic, deadpan, abstract, dense",3.32,1149,15.0
Aperture,Hannah Jadagu,2023-05-19,"Indie Pop, Dream Pop, Bedroom Pop","bittersweet, melancholic, sentimental, energetic, melodic, love, introspective, ethereal, atmospheric, female vocalist, playful, rhythmic, longing",3.44,293,4.0
More Photographs (A Continuum),Kevin Morby,2023-05-26,"Folk Rock, Singer-Songwriter, Indie Folk, Americana, Chamber Pop","lonely, sentimental, melodic, male vocalist, warm, spiritual, soft, philosophical, peaceful, pastoral, bittersweet, passionate, eclectic, longing, poetic, sombre",3.13,143,2.0
Perfume,NCT DOJAEJUNG,2023-04-17,"Contemporary R&B, K-Pop, Dance-Pop, Future Bass, Synth Funk, Alternative R&B","sensual, male vocalist, melodic, rhythmic, romantic, love",3.44,360,3.0
AESTHETIC,tripleS / +(KR)ystal Eyes,2023-05-04,"K-Pop, Dance-Pop, Contemporary R&B, New Jack Swing, Synthpop, Future Bass","female vocalist, warm, rhythmic, lush, melodic, energetic, playful, uplifting",3.5,752,5.0
